State,PC No,PC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share
Bihar,1,Valmiki Nagar,3,PRAVESH KUMAR MISHRA @ ANUP,Independent,23195,30,23225,2.11
Bihar,1,Valmiki Nagar,4,DINESH AGRAWAL,Independent,19787,23,19810,1.8
Bihar,1,Valmiki Nagar,5,DURGESH SINGH CHAUHAN,Bahujan Samaj Party,18739,77,18816,1.71
Bihar,1,Valmiki Nagar,6,CHANDRESHWAR MISHRA,Independent,13590,8,13598,1.23
Bihar,1,Valmiki Nagar,7,SHAFI MOHAMMAD MIYA,Aazad Samaj Party (Kanshi Ram),13419,13,13432,1.22
Bihar,1,Valmiki Nagar,8,PARSHURAM SAH,Independent,12142,8,12150,1.1
Bihar,1,Valmiki Nagar,9,NABA KUMAR SARANIA (HIRA BHAI),Gana Suraksha Party,11420,3,11423,1.04
Bihar,1,Valmiki Nagar,10,SHAMBHU PRASAD,Independent,10478,20,10498,0.95
Bihar,1,Valmiki Nagar,11,NOTA,None of the Above,30673,36,30709,2.79
Bihar,2,Paschim Champaran,1,DR.SANJAY JAISWAL,Bharatiya Janata Party,578959,1462,580421,53.43
Bihar,2,Paschim Champaran,2,MADAN MOHAN TIWARI,Indian National Congress,441363,2490,443853,40.86
Bihar,2,Paschim Champaran,3,SANJAY KUMAR,Viro Ke Vir Indian Party,13139,6,13145,1.21
Bihar,2,Paschim Champaran,4,UPENDRA RAM,Bahujan Samaj Party,10913,49,10962,1.01
Bihar,2,Paschim Champaran,5,MOHAMMAD SOAIB,Independent,8992,2,8994,0.83
Bihar,2,Paschim Champaran,6,RAUSHAN KUMAR SRIVASTAVA,Independent,8496,9,8505,0.78
Bihar,2,Paschim Champaran,7,MD. KALAM SAI,Independent,4922,3,4925,0.45
Bihar,2,Paschim Champaran,8,NAFISH AHMAD,Independent,4163,-,4163,0.38
Bihar,2,Paschim Champaran,9,NOTA,None of the Above,11223,65,11288,1.04
Bihar,3,Purvi Champaran,1,RADHA MOHAN SINGH,Bharatiya Janata Party,540598,1595,542193,50.5
Bihar,3,Purvi Champaran,2,DR RAJESH KUMAR,Vikassheel Insaan Party,451118,2788,453906,42.28
Bihar,3,Purvi Champaran,3,MOHAMMAD AJMER ALAM,Independent,13030,17,13047,1.22
Bihar,3,Purvi Champaran,4,VIJAY KUMAR SAHANI,Rashtriya Jansambhavna Party,8158,27,8185,0.76
Bihar,3,Purvi Champaran,5,RAJESH SINGH,Independent,7176,6,7182,0.67
Bihar,3,Purvi Champaran,6,GYANTI DEVI,Prabuddha Republican Party,6963,45,7008,0.65
Bihar,3,Purvi Champaran,7,PAWAN KUMAR,Bhartiya Sarthak Party,4895,19,4914,0.46
Bihar,3,Purvi Champaran,8,MUNESHWAR TIWARI,Independent,4017,5,4022,0.37
Bihar,3,Purvi Champaran,9,RAJESH KUMAR S/O GAGANLAL SAHNI,Independent,3930,4,3934,0.37
Bihar,3,Purvi Champaran,10,RAJESH KUMAR S/O VISHUN SAH,Independent,3489,3,3492,0.33
Bihar,3,Purvi Champaran,11,NAWAL KISHOR PRASAD,Viro Ke Vir Indian Party,3449,15,3464,0.32
Bihar,3,Purvi Champaran,12,NIKESH KUMAR,Independent,2539,14,2553,0.24
Bihar,3,Purvi Champaran,13,NOTA,None of the Above,19729,59,19788,1.84
Bihar,4,Sheohar,1,LOVELY ANAND,Janata Dal  (United),475709,903,476612,45.15
Bihar,4,Sheohar,2,RITU JAISWAL,Rashtriya Janata Dal,445482,1987,447469,42.39
Bihar,4,Sheohar,3,AKHILESHWAR SHRIVAISHANV,Independent,29014,80,29094,2.76
Bihar,4,Sheohar,4,KANHAIYA KUMAR,Independent,20585,7,20592,1.95
Bihar,4,Sheohar,5,RANA RANJIT,All India Majlis-E-Ittehadul Muslimeen,11947,32,11979,1.13
Bihar,4,Sheohar,6,SUDHIR KUMAR SINGH,Viro Ke Vir Indian Party,9096,6,9102,0.86
Bihar,4,Sheohar,7,VIJENDRA THAKUR,Bahujan Samaj Party,8865,23,8888,0.84
Bihar,4,Sheohar,8,UPENDRA SAHANI,Rashtriya Jansambhavna Party,6332,6,6338,0.6
Bihar,4,Sheohar,9,MAMTA KUMARI,Samata Party,5431,4,5435,0.51
Bihar,4,Sheohar,10,MOHAMMAD MAHTAB ALAM,Samaj Shakti Party,4867,4,4871,0.46
Bihar,4,Sheohar,11,JAGDISH PRASAD,Bajjikanchal Vikas Party,2950,5,2955,0.28
Bihar,4,Sheohar,12,DILIP KUMAR MISHRA,Prabal Bharat Party,2097,2,2099,0.2
Bihar,4,Sheohar,13,NOTA,None of the Above,30130,38,30168,2.86
Bihar,5,Sitamarhi,1,DEVESH CHANDRA THAKUR,Janata Dal  (United),514940,779,515719,47.14
Bihar,5,Sitamarhi,2,ARJUN RAY,Rashtriya Janata Dal,463107,1256,464363,42.45
Bihar,5,Sitamarhi,3,SAIQUA NAWAZ AZMAT,Independent,28911,1,28912,2.64
Bihar,5,Sitamarhi,4,SHYAM NANDAN KISHOR PRASAD,Independent,11173,15,11188,1.02
Bihar,5,Sitamarhi,5,BHOLA SINGH,Bahujan Samaj Party,8773,37,8810,0.81
Bihar,5,Sitamarhi,6,UPENDRA SAHANI,Rashtriya Jansambhavna Party,8446,8,8454,0.77
Bihar,5,Sitamarhi,7,CHANDRIKA PRASAD,Independent,7109,5,7114,0.65
Bihar,5,Sitamarhi,8,VINOD SAH,Independent,4477,4,4481,0.41
Bihar,5,Sitamarhi,9,KRISHNA KISHORE,Independent,3280,-,3280,0.3
Bihar,5,Sitamarhi,10,MUSHAHID RAZA,Desh Janhit Party,2190,2,2192,0.2
Bihar,5,Sitamarhi,11,UMESH KUMAR YADAV,Independent,2126,2,2128,0.19
Bihar,5,Sitamarhi,12,RAJENDRA MAHTO,Karpoori Janta Dal,1976,5,1981,0.18
Bihar,5,Sitamarhi,13,ANAND KUMAR,Independent,1787,9,1796,0.16
Bihar,5,Sitamarhi,14,ABDUL SAMAD,Independent,1439,2,1441,0.13
Bihar,5,Sitamarhi,15,NOTA,None of the Above,32102,31,32133,2.94
Bihar,6,Madhubani,1,ASHOK KUMAR YADAV,Bharatiya Janata Party,552705,723,553428,53.85
Bihar,6,Madhubani,2,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,400909,574,401483,39.07
Bihar,6,Madhubani,3,SHIV BODHAN SAHU,Independent,13365,5,13370,1.3
Bihar,6,Madhubani,4,BIKASH KUMAR,Bahujan Samaj Party,7197,26,7223,0.7
Bihar,6,Madhubani,5,PRIYE RANJAN,Independent,7046,4,7050,0.69
Bihar,6,Madhubani,6,VAIDYANATH YADAV,Peoples Party of India (Democratic),4980,3,4983,0.48
Bihar,6,Madhubani,7,SARFARAJ ALAM,Akhil Bhartiya Parivar Party,4620,3,4623,0.45
Bihar,6,Madhubani,8,MD WAQUAR SIDDIQUI,All India Majlis-E-Ittehadul Muslimeen,4492,6,4498,0.44
Bihar,6,Madhubani,9,MOHAN SHARMA,Rashtriya Jansambhavna Party,4460,4,4464,0.43
Bihar,6,Madhubani,10,ABU BAKAR RAHMANI,Country Citizen Party,2095,2,2097,0.2
Bihar,6,Madhubani,11,UDAY MANDAL,Samata Party,1998,9,2007,0.2
Bihar,6,Madhubani,12,KUL BHUSHAN PRASAD,Loktantrik Lok Rajyam Party,1780,3,1783,0.17
Bihar,6,Madhubani,13,NOTA,None of the Above,20691,28,20719,2.02
Bihar,7,Jhanjharpur,1,RAMPRIT MANDAL,Janata Dal  (United),532138,894,533032,48.73
Bihar,7,Jhanjharpur,2,SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,347989,874,348863,31.9
Bihar,7,Jhanjharpur,3,GULAB YADAV,Bahujan Samaj Party,73532,352,73884,6.76
Bihar,7,Jhanjharpur,4,RAM PRASAD RAUT,Independent,25993,17,26010,2.38
Bihar,7,Jhanjharpur,5,GANGA PRASAD YADAV,Independent,18064,10,18074,1.65
Bihar,7,Jhanjharpur,6,GAURI SHANKAR SAHU,Independent,14307,18,14325,1.31
Bihar,7,Jhanjharpur,7,RAJIV KUMAR JHA,Independent,12488,25,12513,1.14
Bihar,7,Jhanjharpur,8,BABLU KUMAR,Aadarsh Mithila Party,11638,35,11673,1.07
Bihar,7,Jhanjharpur,9,VIDYA NAND RAM,Wazib Adhikar Party,10843,19,10862,0.99
Bihar,7,Jhanjharpur,10,VIJAY KUMAR MANDAL,Socialist Unity Centre Of India (COMMUNIST),8556,21,8577,0.78
Bihar,7,Jhanjharpur,11,NOTA,None of the Above,35846,82,35928,3.28
Bihar,8,Supaul,1,DILESHWAR KAMAIT,Janata Dal  (United),592922,2116,595038,48.33
Bihar,8,Supaul,2,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,422037,3198,425235,34.54
Bihar,8,Supaul,3,BAIDYA NATH MEHTA,Independent,51325,327,51652,4.2
Bihar,8,Supaul,4,YOG NARAYAN SINGH,Independent,27447,7,27454,2.23
Bihar,8,Supaul,5,VINDESHWARI PRASAD,Independent,18450,7,18457,1.5
Bihar,8,Supaul,6,KIRAN DEVI,Bahujan Samaj Party,17961,118,18079,1.47
Bihar,8,Supaul,7,MOHD KALIM KHAN,Rashtriya Jansambhavna Party,14064,14,14078,1.14
Bihar,8,Supaul,8,UMESH PRASAD SAH,Jai Hind Party,12971,43,13014,1.06
Bihar,8,Supaul,9,RAJ KUMAR YADAV,Viro Ke Vir Indian Party,10795,11,10806,0.88
Bihar,8,Supaul,10,RAMESH KUMAR ANAND,"Proutist Bloc, India",9439,12,9451,0.77
Bihar,8,Supaul,11,ABDUL MATIN,Independent,7177,17,7194,0.58
Bihar,8,Supaul,12,BAMBAM KUMAR,Independent,7000,6,7006,0.57
Bihar,8,Supaul,13,NITISH KUMAR,Independent,5894,21,5915,0.48
Bihar,8,Supaul,14,AJAY KUMAR SAH,Independent,5330,21,5351,0.43
Bihar,8,Supaul,15,SHIV HARI AGRAWAL,Bharat Nirman Party,3770,2,3772,0.31
Bihar,8,Supaul,16,NOTA,None of the Above,18444,168,18612,1.51
Bihar,9,Araria,1,PRADEEP KUMAR SINGH,Bharatiya Janata Party,599118,1028,600146,47.91
Bihar,9,Araria,2,SHAHNAWAZ,Rashtriya Janata Dal,578904,1148,580052,46.31
Bihar,9,Araria,3,SHATRUGHAN PRASAD SUMAN,Independent,13697,49,13746,1.1
Bihar,9,Araria,4,MD GHOUSUL AZAM,Bahujan Samaj Party,12672,18,12690,1.01
Bihar,9,Araria,5,MD. MOBINUL HAQUE,Independent,12005,3,12008,0.96
Bihar,9,Araria,6,MD. ISMAIL,Bharatiya Momin Front,7353,1,7354,0.59
Bihar,9,Araria,7,AKHILESH KUMAR,Independent,5086,34,5120,0.41
Bihar,9,Araria,8,MUSHTAK ALAM,Independent,4897,2,4899,0.39
Bihar,9,Araria,9,ZAWED AKHTAR,The National Road Map Party of India,3037,4,3041,0.24
Bihar,9,Araria,10,NOTA,None of the Above,13438,66,13504,1.08
Bihar,10,Kishanganj,1,MOHAMMAD JAWED,Indian National Congress,402470,380,402850,35
Bihar,10,Kishanganj,2,MUJAHID ALAM,Janata Dal  (United),342795,363,343158,29.81
Bihar,10,Kishanganj,3,AKHTARUL IMAN,All India Majlis-E-Ittehadul Muslimeen,309011,253,309264,26.87
Bihar,10,Kishanganj,4,BIDESHI RISHIDEV,Independent,11815,3,11818,1.03
Bihar,10,Kishanganj,5,VISHWANATH TUDU,Independent,11300,2,11302,0.98
Bihar,10,Kishanganj,6,MD GUFRAN JAMALI,Independent,9992,1,9993,0.87
Bihar,10,Kishanganj,7,HASIRUL,Independent,9522,2,9524,0.83
Bihar,10,Kishanganj,8,BABUL ALAM,Bahujan Samaj Party,7575,4,7579,0.66
Bihar,10,Kishanganj,9,RAVI KUMAR ROY,Independent,7299,3,7302,0.63
Bihar,10,Kishanganj,10,SHAHABUZZAMA BHARTIYA,Rashtriya Samaj Paksha,6055,-,6055,0.53
Bihar,10,Kishanganj,11,CHHOTE LAL MAHTO,Independent,3758,5,3763,0.33
Bihar,10,Kishanganj,12,MOHAMMAD KAUSAR PERWEZ,Independent,3525,-,3525,0.31
Bihar,10,Kishanganj,13,NOTA,None of the Above,24953,13,24966,2.17
Bihar,11,Katihar,1,TARIQ ANWAR,Indian National Congress,565025,2067,567092,48.41
Bihar,11,Katihar,2,DULAL CHANDRA GOSWAMI,Janata Dal  (United),516199,1030,517229,44.15
Bihar,11,Katihar,3,GOPAL KUMAR MAHTO,Bahujan Samaj Party,14452,46,14498,1.24
Bihar,11,Katihar,4,GYANESHWAR SOREN,Independent,12307,10,12317,1.05
Bihar,11,Katihar,5,KHALID MOBARAK,Independent,10828,43,10871,0.93
Bihar,11,Katihar,6,RAJ KUMAR MANDAL,Rashtriya Jansambhavna Party,8473,14,8487,0.72
Bihar,11,Katihar,7,VISHNU SINGH,Bharat Jago Janta Party,6303,37,6340,0.54
Bihar,11,Katihar,8,MARANG HANSADA,Peoples Party of India (Democratic),5875,14,5889,0.5
Bihar,11,Katihar,9,BINDU KUMARI,Samaj Shakti Party,5866,18,5884,0.5
Bihar,11,Katihar,10,NOTA,None of the Above,22866,73,22939,1.96
Bihar,12,Purnia,1,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,566867,689,567556,47.46
Bihar,12,Purnia,2,SANTOSH KUMAR,Janata Dal  (United),543313,396,543709,45.47
Bihar,12,Purnia,3,BIMA BHARTI,Rashtriya Janata Dal,27017,103,27120,2.27
Bihar,12,Purnia,4,ARUN DAS,Bahujan Samaj Party,10595,24,10619,0.89
Bihar,12,Purnia,5,SATYENDRA YADAV,Independent,8457,2,8459,0.71
Bihar,12,Purnia,6,NOMAN ALAM,Independent,7693,-,7693,0.64
Bihar,12,Purnia,7,KISHOR KUMAR YADAV,All India Forward Bloc,6846,8,6854,0.57
Bihar,12,Purnia,8,NOTA,None of the Above,23819,15,23834,1.99
Bihar,13,Madhepura,1,DINESH CHANDRA YADAV,Janata Dal  (United),639758,891,640649,52.96
Bihar,13,Madhepura,2,DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,464982,1133,466115,38.53
Bihar,13,Madhepura,3,SURESHWAR PODDAR,Aadarsh Mithila Party,15423,11,15434,1.28
Bihar,13,Madhepura,4,MD ARSHAD HUSSAIN,Bahujan Samaj Party,12947,44,12991,1.07
Bihar,13,Madhepura,5,JAWAHAR LAL JAISWAL,Socialist Unity Centre Of India (COMMUNIST),11320,2,11322,0.94
Bihar,13,Madhepura,6,UCHESHWAR PANDIT,Samajhdar Party,11127,22,11149,0.92
Bihar,13,Madhepura,7,PRO KAMESHWAR YADAV,Bharatiya Jan Kranti Dal (Democratic),10665,9,10674,0.88
Bihar,13,Madhepura,8,AJABLAL MEHTA,Yuva Krantikari Party,8720,16,8736,0.72
Bihar,13,Madhepura,9,NOTA,None of the Above,32557,68,32625,2.7
Bihar,14,Darbhanga,1,GOPAL JEE THAKUR,Bharatiya Janata Party,565706,924,566630,55.33
Bihar,14,Darbhanga,2,LALIT KUMAR YADAV,Rashtriya Janata Dal,387408,1066,388474,37.93
Bihar,14,Darbhanga,3,SAROJ CHAUDHARY,Mithilanchal Mukti Morcha,18018,7,18025,1.76
Bihar,14,Darbhanga,4,DURGANANDA MAHAVIR NAYAK,Bahujan Samaj Party,8259,9,8268,0.81
Bihar,14,Darbhanga,5,MITHILESH MAHTO,Independent,6983,9,6992,0.68
Bihar,14,Darbhanga,6,KISHOR KUMAR DAS,Akhil Bhartiya Parivar Party,5716,5,5721,0.56
Bihar,14,Darbhanga,7,RAJNISH KUMAR,Jantantra Awaj Party,3634,4,3638,0.36
Bihar,14,Darbhanga,8,RANJEET KUMAR RAM,Wazib Adhikar Party,2529,3,2532,0.25
Bihar,14,Darbhanga,9,NOTA,None of the Above,23881,23,23904,2.33
Bihar,15,Muzaffarpur,1,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,618569,1180,619749,55.71
Bihar,15,Muzaffarpur,2,AJAY NISHAD,Indian National Congress,383759,1063,384822,34.59
Bihar,15,Muzaffarpur,3,ALOK KUMAR SINH,Independent,17225,-,17225,1.55
Bihar,15,Muzaffarpur,4,AWADHESH PRASAD SINGH,Independent,15617,1,15618,1.4
Bihar,15,Muzaffarpur,5,JITENDRA KUMAR,Independent,8692,8,8700,0.78
Bihar,15,Muzaffarpur,6,NILIMA KUMARI,Independent,7309,1,7310,0.66
Bihar,15,Muzaffarpur,7,VIJAYESH KUMAR,Bahujan Samaj Party,6530,17,6547,0.59
Bihar,15,Muzaffarpur,8,AJAY SAHNI,Independent,5157,1,5158,0.46
Bihar,15,Muzaffarpur,9,SUNITA KUMARI,Bajjikanchal Vikas Party,4791,1,4792,0.43
Bihar,15,Muzaffarpur,10,MOHAMMAD ANZARUL HASAN,All India Majlis-E-Ittehadul Muslimeen,4121,10,4131,0.37
Bihar,15,Muzaffarpur,11,MD HAIDAR,Independent,3897,-,3897,0.35
Bihar,15,Muzaffarpur,12,MUKESH KUMAR,Independent,3225,-,3225,0.29
Bihar,15,Muzaffarpur,13,SUDHIR KUMAR OJHA,Bhartiya Sarthak Party,2890,3,2893,0.26
Bihar,15,Muzaffarpur,14,SABINA KHATOON,Indian National League,2445,8,2453,0.22
Bihar,15,Muzaffarpur,15,SANDIP KUMAR,Jantantra Awaj Party,1968,3,1971,0.18
Bihar,15,Muzaffarpur,16,ARVIND KUMAR CHAUDHARY,Socialist Unity Centre Of India (COMMUNIST),1852,5,1857,0.17
Bihar,15,Muzaffarpur,17,AJITANSH GAUR,The Agrani Party,1840,3,1843,0.17
Bihar,15,Muzaffarpur,18,SANJAY KUMAR,Independent,1811,1,1812,0.16
Bihar,15,Muzaffarpur,19,BASKIT KUMAR SHARMA,Independent,1778,1,1779,0.16
Bihar,15,Muzaffarpur,20,SONELAL PASWAN,Independent,1730,1,1731,0.16
Bihar,15,Muzaffarpur,21,MANORANJAN KUMAR,Independent,1595,3,1598,0.14
Bihar,15,Muzaffarpur,22,NAND KISHORE SHARMA,Apna Kisan Party,1521,1,1522,0.14
Bihar,15,Muzaffarpur,23,ABHAY KUMAR,Samata Party,1170,4,1174,0.11
Bihar,15,Muzaffarpur,24,PRABHAKAR RANJAN,Ekam Sanatan Bharat Dal,1115,1,1116,0.1
Bihar,15,Muzaffarpur,25,RAJU SINGH,Independent,984,-,984,0.09
Bihar,15,Muzaffarpur,26,SAROJ KUMAR CHAUDHARY,Independent,965,-,965,0.09
Bihar,15,Muzaffarpur,27,NOTA,None of the Above,7539,49,7588,0.68
Bihar,16,Vaishali,1,VEENA DEVI,Lok Janshakti Party(Ram Vilas),566225,818,567043,48.38
Bihar,16,Vaishali,2,VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,476199,1210,477409,40.73
Bihar,16,Vaishali,3,VIKKY KUMAR,Independent,34253,3,34256,2.92
Bihar,16,Vaishali,4,SHAMBHU KUMAR SINGH,Bahujan Samaj Party,21367,69,21436,1.83
Bihar,16,Vaishali,5,RAJ NARAYAN YADAV,Independent,9614,2,9616,0.82
Bihar,16,Vaishali,6,PARAMHANS SINGH,Independent,5316,1,5317,0.45
Bihar,16,Vaishali,7,HARI NARAYAN RAM,Viro Ke Vir Indian Party,5097,3,5100,0.44
Bihar,16,Vaishali,8,RAMESHWAR MAHTO,Bhartiya Sarthak Party,4141,9,4150,0.35
Bihar,16,Vaishali,9,KUMAR SHISHIR,Independent,3903,4,3907,0.33
Bihar,16,Vaishali,10,MUHAMAD AVAS,Independent,3758,-,3758,0.32
Bihar,16,Vaishali,11,ABHA RAY,Peoples Party of India (Democratic),3263,11,3274,0.28
Bihar,16,Vaishali,12,NARESH RAM,Socialist Unity Centre Of India (COMMUNIST),2998,11,3009,0.26
Bihar,16,Vaishali,13,VINOD KUMAR SHARMA,Jantantra Awaj Party,2929,5,2934,0.25
Bihar,16,Vaishali,14,ANIKET RAJ,Rashtriya Samaj Paksha,2018,7,2025,0.17
Bihar,16,Vaishali,15,BALENDRA TIWARY,Hindustan Janta Party Secular,1360,6,1366,0.12
Bihar,16,Vaishali,16,NOTA,None of the Above,27420,40,27460,2.34
Bihar,17,Gopalganj,1,DR. ALOK KUMAR SUMAN,Janata Dal  (United),510329,1537,511866,48.15
Bihar,17,Gopalganj,2,PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,383065,1621,384686,36.19
Bihar,17,Gopalganj,3,DINANATH MANJHI,All India Majlis-E-Ittehadul Muslimeen,29900,92,29992,2.82
Bihar,17,Gopalganj,4,SUJEET KUMAR RAM,Bahujan Samaj Party,29145,127,29272,2.75
Bihar,17,Gopalganj,5,ANIL RAM,Independent,12988,14,13002,1.22
Bihar,17,Gopalganj,6,SATYENDRA BAITHA,Independent,12253,16,12269,1.15
Bihar,17,Gopalganj,7,BHOLA HARIJAN,Independent,11138,2,11140,1.05
Bihar,17,Gopalganj,8,RAM KUMAR MANJHI,Gana Suraksha Party,8531,9,8540,0.8
Bihar,17,Gopalganj,9,NAMI RAM,Independent,6716,-,6716,0.63
Bihar,17,Gopalganj,10,SURENDRA RAM,Bhartiya Rashtriya Dal,6673,39,6712,0.63
Bihar,17,Gopalganj,11,JITENDRA RAM,Bahujan Mukti Party,5942,27,5969,0.56
Bihar,17,Gopalganj,12,NOTA,None of the Above,42713,150,42863,4.03
Bihar,18,Siwan,1,VIJAYLAKSHMI DEVI,Janata Dal  (United),385625,883,386508,38.73
Bihar,18,Siwan,2,HENA SHAHAB,Independent,293084,567,293651,29.42
Bihar,18,Siwan,3,AWADH BIHARI CHOUDHARY,Rashtriya Janata Dal,198063,760,198823,19.92
Bihar,18,Siwan,4,SATYENDRA KUSHWAHA,Independent,21558,7,21565,2.16
Bihar,18,Siwan,5,JEEWAN KUMAR,Independent,18489,101,18590,1.86
Bihar,18,Siwan,6,DILIP KU SINGH,Bahujan Samaj Party,12032,80,12112,1.21
Bihar,18,Siwan,7,SANJAY KUMAR SAH,Bhartiya Lok Nayak Party,8851,28,8879,0.89
Bihar,18,Siwan,8,DR. RAVINDRA NATH SHUKLA,Independent,8681,12,8693,0.87
Bihar,18,Siwan,9,DEVKANT MISHRA,Independent,6162,19,6181,0.62
Bihar,18,Siwan,10,PRAMOD KUMAR,Independent,5666,2,5668,0.57
Bihar,18,Siwan,11,PRAKASH MANI TIWARI,Independent,4503,6,4509,0.45
Bihar,18,Siwan,12,MAHENDRA SINGH ALIAS MAHENDRA RAI,Independent,3920,2,3922,0.39
Bihar,18,Siwan,13,DILIP KUMAR SINGH,Independent,1947,6,1953,0.2
Bihar,18,Siwan,14,NOTA,None of the Above,26925,39,26964,2.7
Bihar,19,Maharajganj,1,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,527974,1559,529533,52.22
Bihar,19,Maharajganj,2,AAKASH KUMAR SINGH,Indian National Congress,425887,995,426882,42.09
Bihar,19,Maharajganj,3,TRIBHUWAN RAM,Peoples Party of India (Democratic),14830,8,14838,1.46
Bihar,19,Maharajganj,4,MADHUSUDAN SINGH,Bahujan Samaj Party,13359,43,13402,1.32
Bihar,19,Maharajganj,5,AKHILESHWAR PRASAD SINGH,All India Majlis-E-Ittehadul Muslimeen,7750,17,7767,0.77
Bihar,19,Maharajganj,6,NOTA,None of the Above,21662,25,21687,2.14
Bihar,20,Saran,1,RAJIV PRATAP RUDY,Bharatiya Janata Party,470234,1518,471752,46.18
Bihar,20,Saran,2,ROHINI ACHARYA,Rashtriya Janata Dal,456763,1328,458091,44.84
Bihar,20,Saran,3,LAXAMAN PRAO YADAV,Independent,22041,2,22043,2.16
Bihar,20,Saran,4,SHAK NAUSHAD,Independent,16101,2,16103,1.58
Bihar,20,Saran,5,AVINASH KUMAR,Bahujan Samaj Party,14708,62,14770,1.45
Bihar,20,Saran,6,RAGHWENDRA PRATAP SINGH,Independent,5165,2,5167,0.51
Bihar,20,Saran,7,GAJENDRA PRASAD CHAURSIYA,Janhit Kisan Party,5025,5,5030,0.49
Bihar,20,Saran,8,SHATRUDHAN TIWARY,Bhartiya Sarthak Party,3661,26,3687,0.36
Bihar,20,Saran,9,MOHAMAD SALIM,Independent,3148,3,3151,0.31
Bihar,20,Saran,10,ARTI KUMARI,Independent,3009,14,3023,0.3
Bihar,20,Saran,11,PRABHAT KUMAR,Independent,2302,4,2306,0.23
Bihar,20,Saran,12,BARUN KUMAR DAS,Gana Suraksha Party,1770,5,1775,0.17
Bihar,20,Saran,13,GYANI KUMAR SHARMA,Bharatiya Ekta Dal,1699,5,1704,0.17
Bihar,20,Saran,14,RAJESH KUSHWAHA,Bhartiya Lok Chetna Party,1486,3,1489,0.15
Bihar,20,Saran,15,NOTA,None of the Above,11382,35,11417,1.12
Bihar,21,Hajipur,1,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),613106,2612,615718,53.29
Bihar,21,Hajipur,2,SHIV CHANDRA RAM,Rashtriya Janata Dal,442553,3060,445613,38.57
Bihar,21,Hajipur,3,SURENDRA KUMAR PASWAN,Independent,17241,4,17245,1.49
Bihar,21,Hajipur,4,SHASHI SWARAJ,Bahujan Samaj Party,8591,88,8679,0.75
Bihar,21,Hajipur,5,HARIWANSH PASWAN,Independent,7113,4,7117,0.62
Bihar,21,Hajipur,6,SHAILENDRA KUMAR,Independent,6153,8,6161,0.53
Bihar,21,Hajipur,7,ASHOK KUMAR,Samata Party,4701,20,4721,0.41
Bihar,21,Hajipur,8,RANDHIR PASWAN,Independent,2671,4,2675,0.23
Bihar,21,Hajipur,9,RAJ KUMAR PASWAN,Yuva Bihar Sena,1983,7,1990,0.17
Bihar,21,Hajipur,10,DHARMENDRA KUMAR,Jantantra Awaj Party,1971,7,1978,0.17
Bihar,21,Hajipur,11,MADHUSUDHAN PASWAN,Independent,1793,8,1801,0.16
Bihar,21,Hajipur,12,RAJESH KUMAR RAUSHAN,Socialist Unity Centre Of India (COMMUNIST),1694,7,1701,0.15
Bihar,21,Hajipur,13,MEGHNATH PASWAN,Independent,1680,-,1680,0.15
Bihar,21,Hajipur,14,BALENDRA DAS,Janshakti Janta Dal,1308,10,1318,0.11
Bihar,21,Hajipur,15,NOTA,None of the Above,36836,91,36927,3.2
Bihar,22,Ujiarpur,1,NITYANAND RAI,Bharatiya Janata Party,515159,806,515965,49.51
Bihar,22,Ujiarpur,2,ALOK KUMAR MEHTA,Rashtriya Janata Dal,454870,993,455863,43.75
Bihar,22,Ujiarpur,3,SANJAY PASWAN,Independent,16961,2,16963,1.63
Bihar,22,Ujiarpur,4,MOHAN KUMAR MAURYA,Bahujan Samaj Party,7081,20,7101,0.68
Bihar,22,Ujiarpur,5,RAKESH KUMAR,Independent,5953,4,5957,0.57
Bihar,22,Ujiarpur,6,SANTHOSH RAI,Rashtriya Jansambhavna Party,4423,3,4426,0.42
Bihar,22,Ujiarpur,7,NARENDRA GIRI,Independent,3150,1,3151,0.3
Bihar,22,Ujiarpur,8,KISHOR KUMAR,Independent,2209,-,2209,0.21
Bihar,22,Ujiarpur,9,AMARESH RAY,Independent,2140,3,2143,0.21
Bihar,22,Ujiarpur,10,ANSHU KUMAR,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),1749,7,1756,0.17
Bihar,22,Ujiarpur,11,RAMPUKAR RAY,Socialist Unity Centre Of India (COMMUNIST),1299,7,1306,0.13
Bihar,22,Ujiarpur,12,NIKKI JHA,Jagrook Janta Party,1006,14,1020,0.1
Bihar,22,Ujiarpur,13,MANOJ KUMAR,Janta Raj Vikas Party,937,2,939,0.09
Bihar,22,Ujiarpur,14,NOTA,None of the Above,23246,23,23269,2.23
Bihar,23,Samastipur,1,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),579095,691,579786,52.97
